CODCONTA;CLASSIFICACAO
37;A Classificar
101;A Classificar
102;A Classificar
103;A Classificar
104;A Classificar
105;A Classificar
106;A Classificar
107;A Classificar
123;A Classificar
990;A Classificar
991;A Classificar
992;A Classificar
994;A Classificar
995;A Classificar
996;A Classificar
100001;A Classificar
100002;A Classificar
100003;A Classificar
100010;A Classificar
100011;A Classificar
100012;A Classificar
100013;A Classificar
100014;A Classificar
100015;A Classificar
100016;A Classificar
100017;A Classificar
100020;A Classificar
100021;A Classificar
100022;A Classificar
100023;A Classificar
100999;A Classificar
200001;A Classificar
200002;A Classificar
200003;A Classificar
200004;A Classificar
200005;A Classificar
200006;A Classificar
200007;A Classificar
200008;A Classificar
200009;A Classificar
200010;A Classificar
200011;A Classificar
200012;A Classificar
200014;Operacional
200015;A Classificar
200016;A Classificar
200018;A Classificar
200019;A Classificar
200020;Operacional
200021;A Classificar
200022;Não Operacional
200023;Não Operacional
200025;Não Operacional
200026;Não Operacional
200027;Operacional
201001;A Classificar
201002;A Classificar
201003;A Classificar
201004;A Classificar
201005;A Classificar
201006;A Classificar
201007;A Classificar
201008;A Classificar
201009;A Classificar
201010;A Classificar
201011;A Classificar
201012;A Classificar
201013;A Classificar
201014;A Classificar
201015;A Classificar
201016;A Classificar
202001;Não Operacional
210001;Operacional
210002;Operacional
210003;Operacional
210004;Operacional
210005;A Classificar
210006;Operacional
210007;Operacional
210008;Operacional
210009;A Classificar
210010;Operacional
210011;Operacional
210012;Operacional
210013;Operacional
210014;Operacional
210015;Operacional
210016;Não Operacional
210017;Operacional
210018;Operacional
210019;Operacional
210020;A Classificar
220001;Operacional
220002;Operacional
220003;Operacional
220004;Operacional
220005;Operacional
220006;Operacional
230001;Operacional
230002;Operacional
230003;Operacional
230004;Operacional
230005;Operacional
230006;Operacional
230007;A Classificar
230008;Operacional
240001;Operacional
240002;Operacional
240003;Operacional
240004;Operacional
240005;Operacional
240006;Operacional
240007;Operacional
240008;Operacional
240009;Operacional
250001;Não Operacional
250002;Não Operacional
250003;A Classificar
250004;A Classificar
250005;A Classificar
250006;Não Operacional
250007;Não Operacional
250008;A Classificar
250009;Não Operacional
250998;Não Operacional
250999;Não Operacional
300001;A Classificar
300002;A Classificar
300003;A Classificar
300004;A Classificar
300005;A Classificar
300006;A Classificar
300007;A Classificar
300008;A Classificar
300009;A Classificar
300010;Operacional
300012;A Classificar
300013;A Classificar
300014;A Classificar
300015;A Classificar
300016;A Classificar
300017;A Classificar
300018;Operacional
300019;A Classificar
300020;A Classificar
300021;A Classificar
300022;A Classificar
300023;A Classificar
300024;A Classificar
300025;A Classificar
300026;A Classificar
300027;A Classificar
300028;A Classificar
300029;Operacional
300030;A Classificar
300031;A Classificar
300032;A Classificar
300033;A Classificar
300034;Operacional
300035;A Classificar
300036;Operacional
300037;A Classificar
300038;A Classificar
300039;A Classificar
300040;A Classificar
300041;A Classificar
300042;Operacional
300043;A Classificar
301001;A Classificar
301002;Não Operacional
301003;A Classificar
301004;A Classificar
301005;Operacional
301006;A Classificar
301007;A Classificar
301008;A Classificar
301009;Operacional
301010;A Classificar
301011;Operacional
301012;Operacional
301013;A Classificar
301014;A Classificar
301015;Não Operacional
301016;Operacional
301017;Operacional
301018;A Classificar
301019;A Classificar
301020;A Classificar
301021;Não Operacional
301022;A Classificar
301023;A Classificar
301024;Não Operacional
301025;A Classificar
301026;A Classificar
301027;A Classificar
301028;A Classificar
301029;A Classificar
301030;A Classificar
301031;A Classificar
301032;A Classificar
301033;A Classificar
301034;A Classificar
301035;A Classificar
301036;A Classificar
301037;A Classificar
301038;A Classificar
301039;A Classificar
301040;A Classificar
301041;A Classificar
301042;A Classificar
301043;A Classificar
301044;A Classificar
301045;A Classificar
301046;A Classificar
301047;A Classificar
301048;A Classificar
301049;A Classificar
301050;A Classificar
301051;A Classificar
301052;A Classificar
301053;A Classificar
301054;A Classificar
301055;A Classificar
301056;A Classificar
301057;A Classificar
301058;A Classificar
301059;A Classificar
301060;A Classificar
301061;A Classificar
301062;A Classificar
301063;A Classificar
301064;A Classificar
301065;A Classificar
301066;A Classificar
301067;A Classificar
301068;A Classificar
301069;A Classificar
301070;A Classificar
301071;A Classificar
301072;A Classificar
301073;A Classificar
301074;A Classificar
301075;A Classificar
301076;A Classificar
301077;A Classificar
301078;A Classificar
302001;A Classificar
302002;Não Operacional
302003;Não Operacional
302004;A Classificar
302005;Operacional
302006;Não Operacional
302007;A Classificar
302008;A Classificar
302009;A Classificar
302010;A Classificar
302011;A Classificar
302012;A Classificar
302013;A Classificar
302014;A Classificar
302015;Operacional
302016;A Classificar
302017;A Classificar
302018;A Classificar
302019;A Classificar
302020;A Classificar
302021;A Classificar
302022;A Classificar
310001;Operacional
310002;Operacional
310003;Operacional
310004;Operacional
310007;A Classificar
310008;Operacional
310009;Operacional
310010;Operacional
320001;Operacional
320002;Operacional
320003;Operacional
320004;Operacional
320005;Operacional
320006;Operacional
320007;Operacional
320008;Operacional
320009;Não Operacional
330001;Não Operacional
330002;A Classificar
330003;A Classificar
331133;A Classificar
401001;A Classificar
401002;A Classificar
401003;Operacional
401004;A Classificar
401005;A Classificar
401006;A Classificar
401007;Operacional
401008;A Classificar
401009;Operacional
401010;A Classificar
401011;A Classificar
401012;A Classificar
401013;A Classificar
401014;A Classificar
401015;A Classificar
401016;Operacional
401017;A Classificar
401018;A Classificar
401019;A Classificar
401020;A Classificar
401021;A Classificar
401022;A Classificar
401023;A Classificar
401024;A Classificar
401025;A Classificar
401026;A Classificar
401027;A Classificar
401028;Operacional
401029;A Classificar
401030;A Classificar
401031;Operacional
401032;A Classificar
401033;A Classificar
401034;Operacional
401035;Operacional
401036;A Classificar
402001;A Classificar
402002;A Classificar
402003;Operacional
402004;A Classificar
402005;A Classificar
402006;A Classificar
402007;A Classificar
402008;A Classificar
402009;A Classificar
402010;A Classificar
402011;A Classificar
402012;A Classificar
402013;Operacional
402014;A Classificar
402015;A Classificar
402016;A Classificar
402017;A Classificar
402018;A Classificar
402019;Operacional
402020;Operacional
402021;A Classificar
402022;A Classificar
402023;A Classificar
402024;Operacional
402998;A Classificar
402999;A Classificar
410001;Operacional
410002;Operacional
410003;Operacional
410004;Operacional
410005;Operacional
410006;Operacional
410007;Operacional
410008;Operacional
410009;Operacional
410010;Operacional
410011;Não Operacional
410012;Não Operacional
420001;Operacional
420002;Operacional
420003;Operacional
420004;Operacional
420005;Operacional
420006;Operacional
420007;Operacional
420008;Operacional
420009;Operacional
420010;Operacional
430001;Operacional
430002;Operacional
430003;Operacional
430004;Operacional
430005;Operacional
430006;Operacional
430007;Operacional
430008;Operacional
430009;Operacional
430010;Operacional
430011;Operacional
440001;Operacional
440002;Operacional
440003;Operacional
440004;Operacional
440005;Operacional
440006;A Classificar
440007;A Classificar
440008;A Classificar
500001;Operacional
500002;A Classificar
500003;Operacional
500004;A Classificar
500005;A Classificar
500006;A Classificar
500007;A Classificar
500008;A Classificar
500009;A Classificar
500010;A Classificar
510001;Operacional
510002;Operacional
510003;Não Operacional
510004;Operacional
510005;Operacional
510006;Operacional
510007;Operacional
510008;Operacional
510009;Operacional
510010;Operacional
510011;Operacional
510012;Não Operacional
510013;Não Operacional
510014;Não Operacional
510015;Não Operacional
600001;A Classificar
600002;A Classificar
600003;A Classificar
600004;A Classificar
600005;A Classificar
600006;A Classificar
600007;A Classificar
600008;Operacional
600009;A Classificar
600010;A Classificar
600011;A Classificar
600012;A Classificar
600013;A Classificar
600014;A Classificar
600015;A Classificar
600016;A Classificar
600017;A Classificar
600018;A Classificar
600019;A Classificar
610001;Não Operacional
610002;Operacional
610003;Operacional
610004;Operacional
610005;Operacional
610006;Operacional
610007;Operacional
610008;Operacional
610009;Operacional
610010;Operacional
620001;Operacional
620002;Operacional
620003;Operacional
620004;Operacional
620005;Operacional
630001;Operacional
630002;Operacional
630003;Operacional
640001;Operacional
640002;Operacional
640003;Operacional
640004;Operacional
640005;Operacional
650001;Operacional
650002;Operacional
650003;Operacional
650004;Operacional
650005;Operacional
650006;Operacional
650007;Operacional
650008;Operacional
650009;Operacional
650010;Operacional
650011;A Classificar
660001;A Classificar
660002;Não Operacional
660003;Operacional
660004;Operacional
660005;A Classificar
660006;Operacional
660007;A Classificar
660008;A Classificar
660009;Não Operacional
710001;A Classificar
710002;A Classificar
710003;A Classificar
710004;A Classificar
710005;A Classificar
710006;A Classificar
710007;A Classificar
710008;A Classificar
710009;A Classificar
710010;A Classificar
710011;A Classificar
710012;A Classificar
710013;A Classificar
710014;A Classificar
710015;A Classificar
710016;A Classificar
710017;A Classificar
710018;A Classificar
710019;A Classificar
710020;A Classificar
710021;A Classificar
710022;A Classificar
710023;A Classificar
710024;A Classificar
710025;A Classificar
710026;A Classificar
710027;A Classificar
710028;A Classificar
710029;A Classificar
710030;A Classificar
710031;A Classificar
710032;A Classificar
710033;A Classificar
710034;A Classificar
710035;A Classificar
710036;A Classificar
710037;A Classificar
710038;A Classificar
710039;A Classificar
710040;A Classificar
710041;A Classificar
710042;A Classificar
710043;A Classificar
710044;A Classificar
710045;A Classificar
710046;A Classificar
710047;A Classificar
710048;A Classificar
720001;Não Operacional
720002;Não Operacional
720003;Não Operacional
720004;Operacional
720005;Não Operacional
730001;Operacional
730002;Operacional
730003;Operacional
730004;Não Operacional
730005;A Classificar
730006;Não Operacional
730007;A Classificar
730008;Operacional
730009;Não Operacional
730010;Operacional
730011;Operacional
730012;Não Operacional
730013;Não Operacional
730014;Não Operacional
730015;Não Operacional
730016;Não Operacional
730017;Não Operacional
730018;Não Operacional
820001;Não Operacional
820002;Não Operacional
820003;Não Operacional
820004;Operacional
820005;Operacional
820006;Operacional
820007;Operacional
820008;A Classificar
820009;Operacional
820010;Operacional
820011;Operacional
820012;Operacional
820013;Operacional
820014;Operacional
820015;Operacional
820016;Não Operacional
820017;Operacional
820018;Não Operacional
820019;Operacional
820025;Operacional
820026;Não Operacional
820027;Operacional
820028;A Classificar
820029;Operacional
820030;Operacional
830001;Operacional
830002;Operacional
830003;Operacional
830004;Operacional
830005;Operacional
830006;Operacional
893001;A Classificar
893002;A Classificar
893003;A Classificar
893004;A Classificar
893005;A Classificar
893006;A Classificar
893007;Não Operacional
900001;Operacional
900002;A Classificar
900003;A Classificar
900004;A Classificar
900005;A Classificar
900006;A Classificar
900007;A Classificar
900008;A Classificar
900009;A Classificar
910001;A Classificar
910002;A Classificar
910003;A Classificar
910004;A Classificar
910005;A Classificar
910006;A Classificar
910007;A Classificar
910008;A Classificar
910009;A Classificar
910010;A Classificar
920001;A Classificar
920002;A Classificar
920003;A Classificar
920004;A Classificar
920005;A Classificar
920006;A Classificar
920007;A Classificar
920008;A Classificar
920009;A Classificar
920010;A Classificar
920011;A Classificar
920012;A Classificar
